,Open,High,Low,Close,Volume,Adj Close
2018-06-21,9170,9300,8900,8920,467161,8920
2018-06-22,8820,9000,8690,8920,222316,8920
2018-06-25,8860,9090,8780,9090,174976,9090
2018-06-26,9000,9030,8800,8820,295085,8820
2018-06-27,8750,8790,8550,8560,281980,8560
2018-06-28,8500,8570,8270,8350,343966,8350
2018-06-29,8430,8520,8160,8440,247120,8440
2018-07-02,8310,8430,7820,7920,553045,7920
2018-07-03,7920,7990,7410,7640,782057,7640
2018-07-04,7510,7620,7430,7440,368307,7440
2018-07-05,7420,7560,7180,7240,316325,7240
2018-07-06,7210,7600,7210,7550,415452,7550
2018-07-09,7470,7470,7150,7330,327440,7330
2018-07-10,7370,7640,7370,7540,237434,7540
2018-07-11,7530,7530,7310,7450,234694,7450
2018-07-12,7460,7460,7310,7340,190702,7340
2018-07-13,7400,7560,7360,7450,246514,7450
2018-07-16,7530,7540,7310,7350,214798,7350
2018-07-17,7330,7470,7300,7400,209504,7400
2018-07-18,7430,7480,7200,7220,189903,7220
2018-07-19,7200,7260,7020,7130,180360,7130
2018-07-20,7130,7150,7010,7030,304340,7030
2018-07-23,7000,7430,7000,7350,377536,7350
2018-07-24,7300,7540,7240,7510,293417,7510
2018-07-25,7510,7670,7400,7480,201531,7480
2018-07-26,7580,7760,7540,7670,217186,7670
2018-07-27,7730,7730,7500,7720,153514,7720
2018-07-30,7690,7840,7650,7780,139514,7780
2018-07-31,7800,7830,7630,7650,170858,7650
2018-08-01,7720,7960,7720,7890,194663,7890
2018-08-02,7790,7930,7660,7690,159305,7690
2018-08-03,7700,7850,7660,7780,124418,7780
2018-08-06,7820,8280,7800,8170,558926,8170
2018-08-07,8120,8340,8040,8280,303010,8280
2018-08-08,8210,8310,8150,8200,146330,8200
2018-08-09,8160,8200,8060,8070,185768,8070
2018-08-10,8160,8370,8040,8310,251165,8310
2018-08-13,8190,8280,7940,7980,249823,7980
2018-08-14,7940,8170,7940,8160,134328,8160
2018-08-16,8140,8140,7890,7910,283338,7910
2018-08-17,7910,7990,7800,7870,210969,7870
2018-08-20,7950,8420,7950,8360,534057,8360
2018-08-21,8330,8450,8210,8260,287528,8260
2018-08-22,8360,8470,8270,8280,218271,8280
2018-08-23,8360,8360,8160,8190,249172,8190
2018-08-24,8210,8210,8020,8100,241365,8100
2018-08-27,8100,8110,7980,8000,265983,8000
2018-08-28,8010,8430,8010,8370,383139,8370
2018-08-29,8400,10150,8400,9630,5566192,9630
2018-08-30,9550,9980,9370,9680,2671894,9680
2018-08-31,9670,9700,9200,9360,1069109,9360
2018-09-03,9290,9540,9220,9330,797279,9330
2018-09-04,9350,9390,9130,9210,457209,9210
2018-09-05,9280,9410,9090,9130,462822,9130
2018-09-06,9130,9300,9030,9110,372029,9110
2018-09-07,9230,9380,9070,9380,607647,9380
2018-09-10,9250,9580,9230,9530,692072,9530
2018-09-11,9590,9590,8750,8780,1321520,8780
2018-09-12,8860,9010,8720,8940,543387,8940
2018-09-13,9080,9090,8870,9010,479463,9010
2018-09-14,9000,9150,8820,8930,409757,8930
2018-09-17,8940,9170,8800,9110,274573,9110
2018-09-18,9120,9120,8910,9040,255428,9040
2018-09-19,9000,9530,9000,9440,982618,9440
2018-09-20,9440,9470,9160,9160,406124,9160
