,Adj Close,Close,High,Low,Open,Volume,coredata(x)
2003-06-23,7675.0,7800.0,7850.0,7800.0,7800.0,3300.0,
2003-06-24,7714.0,7840.0,8000.0,7500.0,7990.0,5400.0,
2003-06-25,7724.0,7850.0,7950.0,7800.0,7840.0,2400.0,
2003-06-26,7606.0,7730.0,7960.0,7730.0,7960.0,1500.0,
2003-06-27,7665.0,7790.0,7790.0,7650.0,7700.0,1900.0,
2003-06-30,7557.0,7680.0,7860.0,7600.0,7660.0,1100.0,
2003-07-01,7517.0,7640.0,7770.0,7610.0,7610.0,700.0,
2003-07-02,7626.0,7750.0,7800.0,7640.0,7680.0,2600.0,
2003-07-03,7793.0,7920.0,8080.0,7610.0,7760.0,11000.0,
2003-07-04,7665.0,7790.0,7880.0,7660.0,7800.0,6000.0,
2003-07-07,7783.0,7910.0,7990.0,7750.0,7810.0,5100.0,
2003-07-08,7773.0,7900.0,8000.0,7810.0,8000.0,1500.0,
2003-07-09,7616.0,7740.0,7890.0,7550.0,7790.0,3700.0,
2003-07-10,7596.0,7720.0,7780.0,7630.0,7660.0,3700.0,
2003-07-11,7744.0,7870.0,7900.0,7610.0,7610.0,2600.0,
2003-07-14,7655.0,7780.0,7940.0,7660.0,7940.0,1400.0,
2003-07-15,7635.0,7760.0,7790.0,7550.0,7790.0,3700.0,
2003-07-16,7635.0,7760.0,7860.0,7520.0,7750.0,9000.0,
2003-07-18,7468.0,7590.0,7670.0,7540.0,7610.0,2200.0,
2003-07-21,7478.0,7600.0,7830.0,7510.0,7830.0,3300.0,
2003-07-22,7498.0,7620.0,7890.0,7210.0,7210.0,1100.0,
2003-07-23,7380.0,7500.0,7690.0,7500.0,7520.0,1900.0,
2003-07-24,7311.0,7430.0,7580.0,7380.0,7400.0,2800.0,
2003-07-25,7478.0,7600.0,7870.0,7450.0,7540.0,4400.0,
2003-07-28,7380.0,7500.0,7600.0,7260.0,7600.0,3200.0,
2003-07-29,7389.0,7510.0,7620.0,7390.0,7450.0,3600.0,
2003-07-30,7399.0,7520.0,7600.0,7440.0,7510.0,2200.0,
2003-07-31,7409.0,7530.0,7800.0,7530.0,7530.0,2500.0,
2003-08-01,7478.0,7600.0,7600.0,7550.0,7550.0,300.0,
2003-08-04,7340.0,7460.0,7730.0,7340.0,7650.0,5400.0,
2003-08-05,7507.0,7630.0,7670.0,7450.0,7640.0,2600.0,
2003-08-06,7380.0,7500.0,7550.0,7400.0,7440.0,3700.0,
2003-08-07,7468.0,7590.0,7740.0,7500.0,7500.0,1000.0,
2003-08-08,7291.0,7410.0,7530.0,7370.0,7480.0,2300.0,
