"name","code","ingornot"
"이베스트투자증권",78020,"ing"
"유비쿼스홀딩스",78070,"ing"
"국일제지",78130,"ing"
"대봉엘에스",78140,"ing"
"HB테크놀러지",78150,"ing"
"메디포스트",78160,"ing"
"컴투스",78340,"ing"
"한양디지텍",78350,"ing"
"두올산업",78590,"ing"
"대주전자재료",78600,"ing"
"코렌",78650,"ing"
"아이오케이",78860,"ing"
"가온미디어",78890,"ing"
"일경산업개발",78940,"ing"
"와토스코리아",79000,"ing"
"한창산업",79170,"ing"
"EMW",79190,"ing"
"제우스",79370,"ing"
"서산",79650,"ing"
"디이엔티",79810,"ing"
"가비아",79940,"ing"
"인베니아",79950,"ing"
"동양이엔피",79960,"ing"
"투비소프트",79970,"ing"
"에스엔유",80000,"ing"
"이상네트웍스",80010,"ing"
"모두투어",80160,"ing"
"제주반도체",80220,"ing"
"모다이노칩",80420,"ing"
"에스제이케이",80440,"ing"
"성창오토텍",80470,"ing"
"오디텍",80520,"ing"
"코디",80530,"stop"
"오킨스전자",80580,"ing"
"한국유니온제약",80720,"ing"
"티플랙스",81150,"ing"
"성우전자",81580,"ing"
"넥스지",81970,"stop"
"옵트론텍",82210,"ing"
"젬백스",82270,"ing"
"삼우엠스",82660,"ing"
"루미마이크로",82800,"ing"
"우리이티아이",82850,"ing"
"비츠로셀",82920,"ing"
"엘오티베큠",83310,"ing"
"GST",83450,"ing"
"KJ프리텍",83470,"ing"
"에프엔에스테크",83500,"ing"
"케이엠",83550,"ing"
"인콘",83640,"ing"
"비에이치아이",83650,"ing"
"CSA 코스믹",83660,"ing"
"크리스탈",83790,"ing"
"아바코",83930,"ing"
"휴온스글로벌",84110,"ing"
"수성",84180,"stop"
"유진테크",84370,"ing"
"랩지노믹스",84650,"ing"
"팅크웨어",84730,"ing"
"바이로메드",84990,"ing"
"루트로닉",85370,"ing"
"차바이오텍",85660,"ing"
"뉴프렉스",85670,"ing"
"알티캐스트",85810,"ing"
"네오티스",85910,"ing"
"바이오톡스텍",86040,"ing"
"진바이오텍",86060,"ing"
"화신테크",86250,"ing"
"유니테스트",86390,"ing"
"동국제약",86450,"ing"
"에코프로",86520,"ing"
"비엠티",86670,"ing"
"이수앱지스",86890,"ing"
"메디톡스",86900,"ing"
"한컴MDS",86960,"ing"
"쇼박스",86980,"ing"
"펩트론",87010,"ing"
"모바일어플라이언스",87260,"ing"
"픽셀플러스",87600,"ing"
"네패스신소재",87730,"ing"
"동아엘텍",88130,"ing"
"이원컴포텍",88290,"ing"
"이녹스",88390,"ing"
"에이스테크",88800,"ing"
"동우팜투테이블",88910,"ing"
"켐트로닉스",89010,"ing"
"테크윙",89030,"ing"
"넥스턴",89140,"ing"
"케이씨티",89150,"ing"
"THE E&M",89230,"ing"
"에이티세미콘",89530,"ing"
"나스미디어",89600,"ing"
"제이티",89790,"ing"
"유비벨록스",89850,"ing"
"코세스",89890,"ing"
"상아프론테크",89980,"ing"
"광진윈텍",90150,"ing"
"로보스타",90360,"ing"
"덕신하우징",90410,"ing"
"비에이치",90460,"ing"
"제이스텍",90470,"ing"
