"name","code","ingornot"
"롯데하이마트",71840,"ing"
"코아스",71950,"ing"
"STX중공업",71970,"ing"
"유엔젤",72130,"ing"
"농심홀딩스",72710,"ing"
"금호타이어",73240,"ing"
"나노메딕스",74610,"ing"
"새론오토모티브",75180,"ing"
"세진중공업",75580,"ing"
"유니퀘스트",77500,"ing"
"STX엔진",77970,"ing"
"텔코웨어",78000,"ing"
"에이블씨엔씨",78520,"ing"
"GS",78930,"ing"
"CJ CGV",79160,"ing"
"현대리바트",79430,"ing"
"아이엔지생명",79440,"ing"
"LIG넥스원",79550,"ing"
"사조해표",79660,"ing"
"휴비스",79980,"ing"
"일진다이아",81000,"ing"
"휠라코리아",81660,"ing"
"동양생명",82640,"ing"
"HSD엔진",82740,"ing"
"동북아12호선박투자",83370,"ing"
"동북아13호선박투자",83380,"ing"
"그린케미칼",83420,"ing"
"대한제강",84010,"ing"
"동양고속",84670,"ing"
"이월드",84680,"ing"
"대상홀딩스",84690,"ing"
"티비에이치글로벌",84870,"ing"
"엔케이",85310,"ing"
"미래에셋생명",85620,"ing"
"현대글로비스",86280,"ing"
"하나금융지주",86790,"ing"
"이리츠코크렙",88260,"ing"
"한화생명",88350,"ing"
"진도",88790,"ing"
"맥쿼리인프라",88980,"ing"
"HDC현대EP",89470,"ing"
"제주항공",89590,"ing"
"평화산업",90080,"ing"
"노루페인트",90350,"ing"
"메타랩스",90370,"ing"
"아모레퍼시픽",90430,"ing"
"세원셀론텍",91090,"ing"
"티웨이항공",91810,"ing"
"디아이씨",92200,"ing"
"KEC",92220,"ing"
"KPX홀딩스",92230,"ing"
"기신정기",92440,"ing"
"동양피스톤",92780,"ing"
"LF",93050,"ing"
"이아이디",93230,"ing"
"형지엘리트",93240,"ing"
"후성",93370,"ing"
"효성 ITX",94280,"ing"
"맵스리얼티1",94800,"ing"
"AJ네트웍스",95570,"ing"
"웅진씽크빅",95720,"ing"
"베트남개발1",96300,"yahoo_error"
"JW홀딩스",96760,"ing"
"SK이노베이션",96770,"ing"
"한진중공업",97230,"ing"
"CJ제일제당",97950,"ing"
"하나니켈1호",99340,"yahoo_error"
"하나니켈2호",99350,"yahoo_error"
"비상교육",100220,"ing"
"진양홀딩스",100250,"ing"
"S&TC",100840,"ing"
"SBS미디어홀딩스",101060,"ing"
"아티스",101140,"ing"
"해태제과식품",101530,"ing"
"동성코퍼레이션",102260,"ing"
"쌍방울",102280,"ing"
"이연제약",102460,"ing"
"웅진에너지",103130,"ing"
"풍산",103140,"ing"
"일진전기",103590,"ing"
"한국철강",104700,"ing"
"KB금융",105560,"ing"
"한세실업",105630,"ing"
"우진",105840,"ing"
"미원홀딩스",107590,"ing"
"LG하우시스",108670,"ing"
"컨버즈",109070,"ing"
"호전실업",111110,"ing"
"영원무역",111770,"ing"
"씨에스윈드",112610,"ing"
"GKL",114090,"ing"
"락앤락",115390,"ing"
"대성에너지",117580,"ing"
"우리들휴브레인",118000,"ing"
"KC코트렐",119650,"ing"
"조선선재",120030,"ing"
"코오롱인더",120110,"ing"
"아이마켓코리아",122900,"ing"
"한국화장품",123690,"ing"
"에스제이엠",123700,"ing"
"한국자산신탁",123890,"ing"
"현대에이치씨엔",126560,"ing"
"대성산업",128820,"ing"
"한미약품",128940,"ing"
"인터지스",129260,"ing"
"한전산업",130660,"ing"
"화인베스틸",133820,"ing"
"미원화학",134380,"ing"
"시디즈",134790,"ing"
"선진",136490,"ing"
"메리츠금융지주",138040,"ing"
"엔에스쇼핑",138250,"ing"
"코오롱플라스틱",138490,"ing"
"BNK금융지주",138930,"ing"
"DGB금융지주",139130,"ing"
"이마트",139480,"ing"
"트러스제7호",140890,"ing"
"에이리츠",140910,"ing"
"핸즈코퍼레이션",143210,"ing"
"코오롱머티리얼",144620,"ing"
"세화아이엠씨",145210,"stop"
"케이탑리츠",145270,"ing"
"덴티움",145720,"ing"
"삼양사",145990,"ing"
"코리아오토글라스",152330,"ing"
"한국ANKOR유전",152550,"yahoo_error"
"하이골드3호",153360,"ing"
"DSR",155660,"ing"
"바다로19호",155900,"ing"
"하이골드8호",159650,"ing"
"애경유화",161000,"ing"
"한국타이어",161390,"ing"
"한국콜마",161890,"ing"
"동일고무벨트",163560,"ing"
"한국패러랠",168490,"yahoo_error"
"동아에스티",170900,"ing"
"하이골드12호",172580,"ing"
"JB금융지주",175330,"ing"
"한진칼",180640,"ing"
"NHN엔터테인먼트",181710,"ing"
"아세아시멘트",183190,"ing"
"종근당",185750,"ing"
"쿠쿠홀딩스",192400,"ing"
"광주은행",192530,"ing"
"코스맥스",192820,"ing"
"제이에스코퍼레이션",194370,"ing"
"해성디에스",195870,"ing"
"서연이화",200880,"ing"
"모두투어리츠",204210,"ing"
"만도",204320,"ing"
"삼성바이오로직스",207940,"ing"
"디와이파워",210540,"ing"
"SK디앤디",210980,"ing"
"한솔제지",213500,"ing"
"이노션",214320,"ing"
"금호에이치티",214330,"ing"
"경보제약",214390,"ing"
"토니모리",214420,"ing"
"잇츠한불",226320,"ing"
"현대코퍼레이션홀딩스",227840,"ing"
"LS전선아시아",229640,"ing"
"JW생명과학",234080,"ing"
"두산밥캣",241560,"ing"
"화승엔터프라이즈",241590,"ing"
"샘표식품",248170,"ing"
"일동제약",249420,"ing"
"넷마블",251270,"ing"
"크라운제과",264900,"ing"
"현대중공업지주",267250,"ing"
"현대일렉트릭",267260,"ing"
"현대건설기계",267270,"ing"
"경동도시가스",267290,"ing"
"미원에스씨",268280,"ing"
"오리온",271560,"ing"
"제일약품",271980,"ing"
"진에어",272450,"ing"
"삼양패키징",272550,"ing"
"롯데제과",280360,"ing"
"케이씨텍",281820,"ing"
"BGF리테일",282330,"ing"
"동아타이어",282690,"ing"
"쿠쿠홈시스",284740,"ing"
"SK케미칼",285130,"ing"
"롯데정보통신",286940,"ing"
"HDC현대산업개발",294870,"ing"
"효성화학",298000,"ing"
"효성티앤씨",298020,"ing"
"효성중공업",298040,"stop"
"효성첨단소재",298050,"ing"
"엘브이엠씨",900140,"ing"
