,Adj Close,Close,High,Low,Open,Volume
2011-01-18,20597,74200,75600,76000,67856,75600
2011-01-19,27391,75200,79100,79500,70998,75600
2011-01-20,12553,77700,79400,79800,71267,79100
2011-01-21,7891,77400,78400,79500,70369,78700
2011-01-24,6145,75900,77400,78400,69472,78000
2011-01-25,14029,75800,76300,79300,68484,77500
2011-01-26,9029,75600,75800,77300,68036,76100
2011-01-27,3876,75100,75200,76200,67497,75900
2011-01-28,6454,74000,74000,76000,66420,75200
2011-01-31,7904,73000,75500,76000,67766,73200
2011-02-01,8409,73800,74000,75900,66420,75500
2011-02-07,12994,73200,73900,75000,66330,74200
2011-02-08,8685,73400,73400,74500,65881,73500
2011-02-09,13746,72400,72400,74500,64984,73600
2011-02-10,7308,72000,72400,73200,64984,72200
2011-02-11,6740,72000,72400,73500,64984,73300
2011-02-14,8469,71300,71500,73000,64176,72500
2011-02-15,14392,70500,71400,72000,64086,71400
2011-02-16,10519,71400,74000,74200,66420,72300
2011-02-17,8833,72100,74000,74400,66420,74400
2011-02-18,2208,72800,73300,73700,65792,73200
2011-02-21,3534,72800,73100,74500,65612,74000
2011-02-22,4688,71700,72000,73700,64625,73700
2011-02-23,10786,69900,70500,72700,63278,71900
2011-02-24,4352,69400,70500,70500,63278,70500
2011-02-25,2792,69000,70400,70800,63189,70800
2011-02-28,2151,69100,70000,71200,62830,70500
2011-03-02,3310,69300,69800,70400,62650,70400
2011-03-03,2561,70500,71800,71800,64445,70500
2011-03-04,6015,70400,71600,73000,64266,72100
2011-03-07,4930,69900,71200,71700,63907,71700
2011-03-08,3623,69900,70500,71500,63278,70700
2011-03-09,2892,70400,70900,71300,63637,71000
2011-03-10,4749,70900,71500,71600,64176,70900
2011-03-11,6794,69700,71000,71400,63727,71400
2011-03-14,5005,69500,70700,71800,63458,70500
2011-03-15,5190,66500,69900,71400,62740,70700
2011-03-16,10580,68000,69500,70700,62381,68000
2011-03-17,11948,68000,69800,69900,62650,68500
2011-03-18,4476,69900,70700,71400,63458,69900
2011-03-21,6404,70700,71500,72200,64176,71000
2011-03-22,6159,71700,72200,72500,64804,72000
2011-03-23,5221,71000,72100,72800,64715,72400
2011-03-24,8826,71500,74500,74700,66869,71500
2011-03-25,15621,73900,74600,75800,66958,74800
2011-03-28,8098,73400,73900,75400,66330,75400
2011-03-29,10328,73200,76900,77000,69023,74000
2011-03-30,11259,75800,78100,78100,70100,77000
2011-03-31,4829,76800,77400,78400,69472,78100
2011-04-01,3709,76100,77800,77900,69831,77600
2011-04-04,10432,75100,76000,78000,68215,77800
2011-04-05,3452,75600,76400,76700,68574,75600
2011-04-06,5109,75200,76300,76800,68484,75900
2011-04-07,6975,75400,75700,77100,67946,77000
2011-04-08,19810,75700,79000,79500,70908,75700
2011-04-11,17385,78600,80400,80600,72164,79000
2011-04-12,8806,77500,78200,79800,70190,79500
2011-04-13,7406,78000,80000,80000,71805,78000
2011-04-14,6854,79000,79500,81100,71357,81100
2011-04-15,15251,78600,79500,81000,71357,80000
2011-04-18,12116,79100,79800,80700,71626,80300
2011-04-19,13276,77500,79000,79400,70908,78800
2011-04-20,11130,77800,78500,79800,70459,79000
2011-04-21,13999,76600,76800,79700,68933,79200
2011-04-22,12068,74900,75100,76800,67407,76800
2011-04-25,11907,74600,78000,78000,70010,75100
2011-04-26,5566,76300,76500,78100,68664,78100
2011-04-27,5602,76000,77700,78300,69741,77300
2011-04-28,9973,78000,79200,80000,71087,78200
2011-04-29,6782,76700,78600,79800,70549,79200
2011-05-02,2031,77500,78000,79000,70010,79000
2011-05-03,15157,75000,75700,78700,67946,78700
2011-05-04,4198,75500,76000,76400,68215,76000
2011-05-06,6538,75000,76100,76100,68305,75100
2011-05-09,537,75700,76000,76600,68215,76600
2011-05-11,6831,74800,75900,76300,68125,76200
2011-05-12,5530,75700,76100,76500,68305,75800
2011-05-13,20303,75200,76100,77400,68305,76500
2011-05-16,9309,74500,75800,76500,68036,74500
2011-05-17,12028,73700,75000,75600,67317,75600
2011-05-18,4861,74400,74800,75400,67138,74500
2011-05-19,7877,73800,75300,75600,67587,74900
2011-05-20,3033,73500,73600,75600,66061,74800
2011-05-23,3585,73300,73600,74500,66061,73500
2011-05-24,2363,73100,73300,74000,65792,74000
2011-05-25,6020,72900,73000,75000,65522,73100
2011-05-26,8152,71500,72400,73300,64984,73300
2011-05-27,8127,70100,70900,71800,63637,71500
2011-05-30,5196,70500,71000,71700,63727,71000
2011-05-31,7302,69700,71000,72100,63727,72100
2011-06-01,4115,70600,71100,71600,63817,71500
2011-06-02,2485,70100,71200,71700,63907,70800
2011-06-03,3081,70800,71500,71900,64176,71700
2011-06-07,3729,70400,72000,72700,64625,71200
2011-06-08,1765,71000,71700,72600,64355,72600
2011-06-09,1863,70600,71400,71700,64086,71700
2011-06-10,2820,70400,71000,71500,63727,71500
2011-06-13,2793,69500,69500,71000,62381,71000
2011-06-14,9073,68800,69900,70600,62740,69500
2011-06-15,2125,68900,70000,71300,62830,71300
2011-06-16,3336,67000,67600,69900,60675,69900
2011-06-17,2108,68000,69000,69100,61932,68800
2011-06-20,2810,68000,68900,70000,61842,69000
2011-06-21,3673,68300,69500,69500,62381,69500
2011-06-22,10543,69500,71500,71800,64176,69500
2011-06-23,8251,69500,70800,71800,63548,71800
2011-06-24,5341,69800,70400,71300,63189,70400
2011-06-27,6041,69200,69800,70400,62650,69700
2011-06-28,6261,68500,70000,70900,62830,69400
2011-06-29,5555,69000,70500,70500,63278,69700
2011-06-30,12696,68600,72100,72100,64715,70500
2011-07-01,18391,69400,69400,71500,62291,71200
2011-07-04,6854,69300,69400,69800,62291,69400
2011-07-05,13921,68600,69400,69700,62291,69700
2011-07-06,14003,67500,68600,69400,61573,69400
2011-07-07,6699,68100,68800,69500,61753,68500
2011-07-08,5337,68600,69700,70000,62560,68800
2011-07-11,6599,68900,70200,70300,63009,69900
2011-07-12,10645,67900,68400,70000,61393,70000
2011-07-13,7551,68400,69700,69800,62560,68400
2011-07-14,6354,69100,69900,70700,62740,70000
2011-07-15,12365,69900,72000,72100,64625,70300
2011-07-18,10165,71800,73700,74000,66151,72500
2011-07-19,8304,72500,73400,74000,65881,73900
2011-07-20,5262,72500,73400,73500,65881,73500
2011-07-21,9506,73000,74800,75300,67138,73500
2011-07-22,6587,74000,76000,76500,68215,74800
2011-07-25,4697,74700,75600,76700,67856,76100
2011-07-26,6394,74400,75000,75800,67317,75100
2011-07-27,15285,73300,74000,77000,66420,74800
2011-07-28,5756,73700,75800,75800,68036,74000
2011-07-29,9691,74800,75800,76200,68036,76000
2011-08-01,7977,74700,76000,76400,68215,76300
2011-08-02,6473,73100,74600,75900,66958,75900
2011-08-03,10503,71000,73000,74000,65522,74000
2011-08-04,3822,71300,72700,73800,65253,72500
2011-08-05,11347,68000,71000,71500,63727,70400
2011-08-08,17867,62000,71000,76000,63727,70600
2011-08-09,12178,62500,66400,68600,59598,66400
2011-08-10,7506,66000,66000,68700,59239,67500
2011-08-11,15104,61900,65100,65100,58432,64500
2011-08-12,6866,64700,64800,67000,58162,66200
2011-08-16,5351,65700,67200,67300,60316,65700
2011-08-17,5407,67500,69200,69900,62112,67900
2011-08-18,6146,66500,69900,70300,62740,70300
2011-08-19,4239,65200,66000,67300,59239,66600
2011-08-22,2272,64000,65400,66000,58701,66000
2011-08-23,1815,65400,66800,67800,59957,67800
2011-08-24,6755,66000,68400,69000,61393,67000
2011-08-25,1949,68000,68200,69000,61214,68600
2011-08-26,1802,66400,68200,68400,61214,66400
2011-08-29,3297,68200,68300,69100,61304,69000
2011-08-30,3148,67300,68200,69000,61214,69000
2011-08-31,1856,67300,68000,68300,61034,67800
2011-09-01,5505,66600,67500,69000,60586,69000
2011-09-02,1138,66600,67300,67700,60406,67200
2011-09-05,5714,64700,65900,67000,59150,67000
2011-09-06,4303,63000,63300,65000,56816,63900
2011-09-07,4347,63300,64100,64800,57534,63300
2011-09-08,3017,63800,64800,65000,58162,65000
2011-09-09,1111,64000,64400,65100,57803,64000
2011-09-14,5878,61500,61800,64100,55470,64100
2011-09-15,27671,58500,59100,62800,53046,62200
2011-09-16,8300,59100,60500,60800,54303,60000
2011-09-19,2915,59500,59500,60500,53405,60500
2011-09-20,8501,58800,61000,61300,54751,59300
2011-09-21,6157,60200,63000,63200,56547,60200
2011-09-22,7539,61300,62000,63400,55649,61800
2011-09-23,6833,57300,57700,60900,51789,60900
